nameA	nameB
LHX2	FLJ40194
NCRNA00240	CCDC33
RARRES1	ZNF562
PTPRO	NPPB
NEGR1	MYO3A
TTC25	SVOPL
TLE6	KIAA1984
ZNF460	TMEM82
NXNL2	ZNF284
FOSL2	PCSK6
SCAI	FKTN
RASL11A	SEC14L2
VPS13C	MT1M
USP38	AAK1
ZNF695	JOSD2
EDA2R	COL9A2
SLC25A21	PAMR1
PLK3	TBCK
SLC25A32	NETO2
ATG7	SNTG2
USP49	PRKCA
SNCB	ZNF738
HRASLS5	ADCK2
C1RL	TLN2
RABL5	SULT4A1
DPP7	EPB41L5
DDX25	RAD51C
RREB1	EPHB6
PLSCR1	SLC25A19
NCKAP5L	SMURF1
GLS2	ZCCHC11
DHX35	ANO6
PLEKHO2	KIF4A
KPTN	VTA1
PLXDC2	ZNF775
ATP6V0A1	GSTK1
EXT2	RASSF3
TMEM49	ADNP2
DNTTIP2	ZFAND3
FOXN3	TBC1D9B
SUGT1	LRRC42
FADS3	MTOR
LARGE	PPP2CB
IMMT	POLRMT
ATXN10	GORASP2
ELOVL5	SF3B14
CBX3	G3BP2
FIS1	SILV
AKR1B1	HMGB1
BSG	COX6A1
